BR.A	BR.B	BR.C	DR.A	DR.C	DR.D
ofav112378	0	0	0	1	1	0
ofav112399	0	0	1	0	0	0
ofav112428	0	0	0	0	0	0
ofav112434	0	0	0	0	0	0
ofav112441	0	0	0	0	0	0
ofav112451	0	0	0	0	0	0
ofav11246	23	2	23	35	20	36
ofav112462	0	2	1	0	0	0
ofav112479	0	0	0	0	0	0
ofav112495	0	0	0	0	0	0
ofav112549	0	0	0	0	0	0
ofav112565	0	0	0	0	0	0
ofav112636	0	0	0	0	0	0
ofav112670	0	0	0	1	0	0
ofav11269	0	2	25	47	19	24
ofav112691	0	0	0	0	0	0
ofav112719	0	0	1	0	0	0
ofav11273	0	0	2	1	1	0
ofav112733	0	0	0	0	0	1
ofav112746	0	0	0	0	0	0
ofav112769	0	0	1	0	0	0
ofav112786	0	0	1	0	0	1
ofav112794	0	0	4	0	0	0
ofav112798	0	0	1	0	0	3
ofav11286	6	0	1	2	1	1
ofav112862	0	0	0	0	0	0
ofav112881	0	0	0	0	0	0
ofav11289	7	1	2	0	1	1
ofav112928	0	0	0	0	0	0
ofav11294	0	0	0	0	0	0
ofav112946	0	0	1	0	0	0
ofav113146	0	0	1	1	0	0
ofav113157	0	0	1	0	0	0
ofav113194	0	2	0	0	0	0
ofav113198	0	0	0	0	0	0
ofav11321	0	0	0	0	0	0
ofav113279	0	0	0	0	0	0
ofav11331	0	0	0	0	0	1
ofav113334	0	0	1	0	0	0
ofav11334	0	1	3	0	1	1
ofav113345	0	0	1	1	0	0
ofav113346	0	0	4	3	0	3
ofav113384	0	0	1	1	0	0
ofav113420	0	0	0	0	0	0
ofav113423	0	0	0	0	0	0
ofav113426	0	0	0	0	0	0
ofav113481	0	0	0	1	0	0
ofav113486	0	0	0	0	0	0
ofav113700	0	1	0	0	0	0
ofav113722	0	1	0	2	0	1
ofav113733	0	0	0	0	0	1
ofav113734	0	0	0	0	0	0
ofav113760	0	0	0	0	0	0
ofav113762	0	0	0	0	0	0
ofav113804	4	1	9	16	3	23
ofav11381	5	0	6	5	0	4
ofav113865	0	0	0	0	0	0
ofav113879	0	0	5	1	2	6
ofav113918	0	0	1	0	0	1
ofav113946	0	0	0	0	0	0
ofav11395	0	0	6	4	0	2
ofav113956	0	0	0	0	0	0
ofav113965	0	0	0	0	0	0
ofav113974	0	0	0	0	0	0
ofav113979	0	0	0	0	0	0
ofav113982	0	0	0	0	0	0
ofav114031	0	0	0	0	0	1
ofav1141	0	0	0	0	0	0
ofav114110	0	0	0	0	0	0
ofav114121	0	0	0	0	0	0
ofav114127	0	0	1	0	0	0
ofav114145	0	0	0	1	0	0
ofav11415	0	0	0	2	1	1
ofav114150	0	0	0	0	0	0
ofav114154	0	0	0	0	0	0
ofav114166	0	0	0	0	1	1
ofav114204	0	0	0	0	0	0
ofav114216	1	0	0	0	0	0
ofav11423	1	0	6	0	0	4
ofav114246	0	0	0	0	0	0
ofav11425	4	0	0	2	0	1
ofav114258	0	0	0	0	0	0
ofav114275	0	0	1	0	0	0
ofav114309	0	0	1	2	0	0
ofav114314	1	0	2	2	1	0
ofav114367	0	0	0	1	0	3
ofav114391	0	0	0	0	0	1
ofav114503	0	0	0	0	0	1
ofav11451	1	0	2	2	6	2
ofav11452	0	0	0	0	0	0
ofav11459	0	0	0	0	1	1
ofav114600	0	0	0	0	0	0
ofav114613	0	0	0	0	0	0
ofav114634	0	0	0	0	0	2
ofav114645	0	0	1	0	0	0
ofav11465	0	0	1	5	2	2
ofav11467	0	0	1	3	0	1
ofav114707	0	0	0	1	0	0
ofav11471	0	0	0	0	0	0
ofav11472	2	0	0	0	0	0
ofav114742	0	0	0	0	0	0
ofav114753	0	0	0	0	0	0
ofav114762	0	0	1	0	0	0
ofav11477	0	0	0	0	0	0
ofav114786	0	0	0	1	0	0
ofav11479	0	0	3	1	0	1
ofav114801	0	0	0	0	0	0
ofav114827	0	0	0	0	0	0
ofav114847	0	0	0	0	0	0
ofav114851	0	0	1	0	0	0
ofav114859	0	0	0	0	0	0
ofav114866	6	0	1	0	0	0
ofav114878	0	0	1	0	0	1
ofav114888	2	0	0	3	0	4
ofav11489	0	2	1	0	0	4
ofav114904	0	0	0	1	0	1
