	BR-A-fav_uptake_S1_L007_R1_001.fastq.trim.sam.counts	BR-B-fav_uptake_S2_L007_R1_001.fastq.trim.sam.counts	BR-C-fav_uptake_S3_L007_R1_001.fastq.trim.sam.counts	BR-D-fav_uptake_S4_L007_R1_001.fastq.trim.sam.counts	CR-A-fav_uptake_S5_L007_R1_001.fastq.trim.sam.counts	CR-B-fav_uptake_S6_L007_R1_001.fastq.trim.sam.counts	CR-C-fav_uptake_S7_L007_R1_001.fastq.trim.sam.counts	DR-A-fav_uptake_S8_L007_R1_001.fastq.trim.sam.counts	DR-B-fav_uptake_S9_L007_R1_001.fastq.trim.sam.counts	DR-C-fav_uptake_S10_L007_R1_001.fastq.trim.sam.counts	DR-D-fav_uptake_S11_L007_R1_001.fastq.trim.sam.counts	
ofav105006	2	1	11	0	0	0	0	25	0	0	8	
ofav105023	0	0	5	0	0	0	0	3	0	0	9	
ofav105028	0	0	2	0	0	0	0	1	0	0	0	
ofav105029	0	0	17	0	0	0	0	25	0	3	16	
ofav105043	0	0	0	0	0	0	0	0	0	2	1	
ofav105080	0	1	25	0	0	1	0	31	0	1	44	
ofav105093	0	0	0	0	0	0	0	0	0	0	3	
ofav105095	0	0	7	0	0	0	0	2	0	0	6	
ofav105121	0	0	21	0	0	0	0	27	0	2	36	
ofav105149	0	0	0	0	0	0	0	1	0	0	2	
ofav105152	0	0	12	0	0	0	0	16	0	2	17	
ofav1052	0	0	0	0	0	0	0	0	0	0	2	
ofav105218	8	0	93	0	0	0	0	131	0	1	109	
ofav105227	0	1	1	0	0	0	0	0	0	0	0	
ofav105237	0	0	10	0	0	0	0	5	0	1	23	
ofav105283	0	1	2	0	0	0	0	6	0	0	5	
ofav105303	0	0	0	0	0	0	0	0	0	0	1	
ofav105305	0	0	0	0	0	0	0	0	0	0	1	
ofav105323	0	0	5	0	0	0	0	1	0	0	2	
ofav105336	0	0	0	0	0	0	0	1	0	0	2	
ofav105350	0	0	7	0	0	0	0	5	0	0	4	
ofav10540	1	0	58	0	1	0	0	99	0	2	167	
ofav105408	6	0	8	0	0	0	0	9	0	2	19	
ofav105414	20	9	199	0	0	0	0	66	0	1	111	
ofav105426	0	0	2	0	0	0	0	1	0	0	0	
ofav105450	0	0	12	0	0	0	0	2	0	3	1	
ofav10546	0	0	0	0	0	0	0	0	0	0	1	
ofav105462	0	0	0	0	0	0	0	1	0	0	0	
ofav105545	0	0	13	0	0	0	0	7	0	0	4	
ofav105547	0	0	1	0	0	0	0	0	0	0	5	
ofav105561	0	0	3	0	0	0	0	0	0	0	1	
ofav105575	0	0	0	0	0	0	0	1	0	0	0	
ofav10559	2	1	15	0	0	0	0	49	0	2	32	
ofav105598	0	0	11	0	0	0	0	7	0	0	9	
ofav1056	0	0	3	0	0	0	0	0	0	0	2	
ofav105603	0	0	8	0	0	0	0	7	0	0	6	
ofav105612	0	0	0	0	0	0	0	0	0	0	1	
ofav10562	0	0	1	0	0	0	0	0	0	0	5	
ofav105667	0	0	1	0	0	0	0	0	0	0	1	
ofav105682	0	0	0	0	0	0	0	3	0	0	0	
ofav105705	0	0	2	0	0	0	0	0	0	0	3	
ofav105721	0	1	86	0	0	0	0	77	0	2	50	
ofav105725	0	0	2	0	0	0	0	0	0	0	6	
ofav105735	0	0	3	0	0	0	0	0	0	0	1	
ofav105764	1	0	33	0	0	0	0	12	0	0	19	
ofav105782	3	0	17	0	0	0	0	17	0	0	27	
ofav105817	0	0	0	0	0	0	0	1	0	0	0	
ofav10583	0	0	31	0	0	0	0	10	0	0	33	
ofav105854	0	0	0	0	0	0	0	0	0	0	2	
ofav105869	0	0	2	0	0	0	0	0	0	0	0	
ofav105870	0	0	120	0	0	0	0	72	0	1	91	
ofav105903	0	0	6	0	0	0	0	1	0	0	3	
ofav105951	0	0	2	0	0	0	0	1	0	0	1	
ofav105955	0	0	2	0	0	0	0	5	0	0	0	
ofav10598	0	0	2	0	0	0	0	0	0	0	2	
ofav106018	0	0	2	0	0	0	0	3	0	0	2	
ofav106055	0	0	7	0	0	0	0	8	0	0	8	
ofav10606	0	0	4	0	0	0	0	1	0	0	0	
ofav106072	0	0	0	0	0	0	0	1	0	1	0	
ofav106082	0	0	13	0	0	0	0	10	0	5	14	
ofav106128	0	0	1	0	0	0	0	0	0	0	5	
ofav106136	0	0	2	0	0	0	0	0	0	0	0	
ofav106148	0	0	1	0	0	0	0	0	0	0	5	
ofav106154	0	0	0	0	0	0	0	0	0	0	1	
ofav106191	0	0	0	0	0	0	0	0	0	0	1	
ofav106201	0	0	11	0	0	0	0	15	0	1	9	
ofav106204	0	0	4	0	0	0	0	2	0	0	2	
ofav106247	0	0	5	0	0	0	0	8	0	0	3	
ofav106283	5	0	34	0	0	0	0	93	0	1	64	
ofav106286	0	0	15	0	0	0	0	1	0	0	9	
ofav1063	0	0	1	0	0	0	0	0	0	0	0	
ofav10633	0	0	6	0	0	0	0	0	0	0	20	
ofav106343	0	0	0	0	0	0	0	1	0	0	0	
ofav106352	12	0	15	0	0	0	0	34	0	0	42	
ofav106354	0	0	0	0	0	0	0	1	0	0	0	
ofav106364	0	0	6	0	0	0	0	8	0	0	8	
ofav106367	0	0	1	0	0	0	0	3	0	0	0	
ofav106374	0	0	12	0	0	0	0	10	0	1	11	
ofav106375	1	1	10	0	0	0	0	9	0	0	8	
ofav10638	0	2	38	0	0	0	0	77	0	4	86	
ofav106380	0	0	8	0	0	0	0	4	0	0	2	
ofav106382	0	0	7	0	0	0	0	25	0	0	8	
ofav106411	0	0	35	0	0	1	0	65	0	1	71	
ofav106424	0	1	0	0	0	0	0	0	0	0	0	
ofav106456	0	0	0	0	0	0	0	0	0	0	1	
ofav10647	7	0	143	0	0	0	0	182	0	5	196	
ofav106476	1	0	6	0	0	0	0	13	0	0	16	
ofav10649	5	3	124	0	0	0	0	185	0	7	132	
ofav106516	4	0	33	0	0	0	0	11	0	0	25	
ofav106533	0	0	0	0	0	0	0	4	0	0	12	
ofav106551	0	0	1	0	0	0	0	0	0	0	0	
ofav106570	0	1	20	0	0	0	0	11	0	0	16	
ofav106587	0	0	1	0	0	0	0	0	0	0	0	
ofav106601	0	0	6	0	0	0	0	9	0	0	5	
ofav106638	0	0	1	0	0	0	0	2	0	1	0	
ofav10665	0	0	1	0	0	0	0	0	0	0	1	
ofav106652	0	0	4	0	0	0	0	2	0	0	3	
ofav106712	0	0	1	0	0	0	0	0	0	0	0	
ofav106716	0	0	2	0	0	0	0	0	0	0	0	
ofav10673	0	0	9	0	0	0	0	1	0	0	1	
ofav106753	0	0	5	0	0	0	0	4	0	0	4	
ofav106755	0	0	1	0	0	0	0	0	0	0	4	
ofav1068	0	0	1	0	0	0	0	0	0	0	1	
ofav106800	0	0	1	0	0	0	0	0	0	0	2	
ofav106801	0	0	14	0	0	0	0	15	0	0	27	
ofav106813	0	0	7	0	0	0	0	2	0	2	4	
ofav106827	0	0	0	0	0	0	0	1	0	0	0	
ofav106845	0	0	1	0	0	0	0	0	0	0	0	
ofav106863	0	0	1	0	0	0	0	2	0	0	5	
ofav106864	0	0	0	0	0	0	0	1	0	0	1	
ofav106873	0	0	14	0	0	0	0	10	0	0	10	
ofav106908	0	0	1	0	0	0	0	0	0	0	3	
ofav106909	0	0	5	0	0	0	0	1	0	0	3	
ofav106931	0	0	0	0	0	0	0	1	0	0	0	
ofav106937	0	0	0	0	0	0	0	0	0	0	1	
ofav10695	15	3	119	1	0	0	0	431	0	6	296	
ofav107	0	0	0	0	0	0	0	0	0	0	2	
ofav107017	1	0	1	0	0	0	0	2	0	0	0	
ofav107045	0	0	1	0	0	0	0	0	0	0	1	
ofav107046	0	0	2	0	0	0	0	0	0	0	4	
ofav107048	1	0	14	0	0	0	0	7	0	1	12	
ofav107059	3	0	26	0	0	0	0	5	0	1	21	
ofav107070	0	0	0	0	0	0	0	1	0	0	2	
ofav107071	0	0	4	0	0	0	0	5	0	0	0	
ofav107092	0	0	0	0	0	0	0	5	0	0	0	
ofav10712	1	4	50	0	0	0	0	42	0	3	53	
ofav107130	0	0	0	0	0	0	0	0	0	0	2	
ofav107131	0	0	2	0	0	0	0	0	0	0	0	
ofav107156	0	0	1	0	0	0	0	0	0	0	3	
ofav107161	4	0	27	0	0	0	0	30	0	1	27	
ofav107164	2	2	75	0	0	0	0	56	0	0	28	
ofav10718	1	0	25	0	0	0	0	38	2	0	27	
ofav107199	0	0	0	0	0	0	0	0	0	0	1	
ofav107245	1	0	11	0	0	0	0	23	0	0	14	
